graph1,graph2,graph3,graph4,graph5,graph6,graph7,id,section
4,1,10,8,10,8,10,143,L01
1,1,1,10,1,7,8,144,L01
4,3,5,4,6,8,8,145,L01
6,3,8,4,8,8,5,146,L01
2,1,3,2,4,2,5,147,L01
3,3,3,8,8,5,9,148,L01
4,1,3,10,6,9,2,149,L01
2,2,5,6,8,6,7,150,L01
2,5,4,6,3,1,7,151,L01
3,1,5,10,9,6,4,152,L01
2,2,5,2,7,7,6,153,L01
3,7,4,8,7,4,4,154,L01
