NewCreditCustomer,Age,Gender,Country,Amount,Interest,LoanDuration,MonthlyPayment,MonthlyPaymentDay,Education,HomeOwnershipType,IncomeTotal,LiabilitiesTotal,ProbabilityOfDefault,PrincipalBalance
FALSE,38,0,EE,106,25.54,60,3,15,4,3,1500,274.97,0.0527126765897142,106
FALSE,34,0,EE,425,21.88,60,13,13,1,1,1400,491.56,0.0367019625841963,420.24
TRUE,26,1,FI,1554,17.37,60,39,4,3,3,1300,0,0.0904646813869476,1554
FALSE,33,0,EE,2126,33.13,60,75,12,4,3,1900,871.86,0.0783333882532762,0
FALSE,52,1,FI,414,19.34,60,11,17,4,10,3100,1092.12,0.0455711223185062,414
FALSE,34,1,EE,531,25.54,60,17,3,5,1,1640,654.69,0.0205237836015986,531
FALSE,26,0,EE,318,25.55,60,10,11,1,1,2500,921.94,0.0547841096749034,318
FALSE,24,0,EE,1063,33.12,60,37,4,4,2,1800,515.75,0.0798557633529506,1063
FALSE,44,1,FI,725,19.33,111,11,25,3,10,1800,187.7,0.1060883179306984,725
FALSE,43,1,EE,106,24.2,60,3,1,5,1,3300,690.28,0.0632357319142984,106
FALSE,24,1,EE,318,34.44,60,11,11,1,2,1100,227.93,0.1374460051703761,318
FALSE,51,1,FI,1554,15.19,60,37,3,1,1,3500,970.22,0.0312527827918529,1554
FALSE,23,1,EE,106,33.11,60,4,5,5,10,1318,503.54,0.0729649969359305,106
FALSE,24,1,EE,106,34.44,60,4,11,1,2,1100,227.93,0.1374460051703761,106
FALSE,43,0,FI,518,19.32,60,13,18,5,10,4500,104.32,0.0355033837258815,512.73
FALSE,30,0,EE,212,28.02,60,7,18,3,3,1560,360,0.130935773428454,212
TRUE,44,0,FI,518,19.34,60,13,12,3,1,3300,982.75,0.0329020991921424,518
FALSE,24,1,EE,637,34.38,60,23,8,3,1,1400,329.09,0.1484368707081513,632.31
TRUE,48,1,FI,1036,19.34,60,27,18,3,10,3500,113.54,0.0571763403713703,1036
FALSE,44,0,EE,1913,25.54,60,60,8,4,1,1800,377.29,0.0391454918251833,1904.05
FALSE,33,0,EE,106,34.43,60,4,4,5,2,1100,90.74,0.1273337105288725,106
FALSE,33,0,EE,106,33.13,60,4,4,5,2,1100,53.93,0.0848809358193381,106
FALSE,33,0,EE,2126,33.13,60,75,12,4,3,1900,871.86,0.0783333882532762,2126
FALSE,29,0,EE,1488,28.03,60,49,10,1,10,1400,444.81,0.12916080719099,1488
FALSE,61,1,EE,106,24.2,60,3,11,4,1,700,26.24,0.0497410428982679,106
FALSE,25,1,EE,106,27.99,60,3,13,3,1,1500,207.3,0.0901541769653216,105.1
FALSE,44,1,EE,1594,21.9,60,48,9,5,1,2100,509.25,0.0105950259356959,1594
FALSE,43,1,EE,531,21.9,60,16,14,1,1,2000,209.04,0.0248168170057764,531
FALSE,36,0,EE,1382,28.02,60,45,14,4,1,1450,585.65,0.082755521848263,1382
FALSE,31,1,EE,1594,27.98,60,52,24,1,3,650,120.03,0.1096304292913325,1594
FALSE,30,0,EE,1275,27.99,60,42,14,3,10,1800,463.4,0.085604378870393,1264.14
FALSE,27,0,EE,106,27.99,60,3,8,3,10,1200,318.28,0.105675317233034,105.1
FALSE,47,1,EE,106,25.54,60,3,10,1,1,600,67.03,0.0689931900024715,106
FALSE,44,0,FI,518,19.33,60,13,1,3,1,2800,1341.55,0.0330194123089313,518
FALSE,40,1,FI,4249,19.33,60,110,1,3,1,2000,450,0.0746490508317947,4249
FALSE,43,1,EE,106,24.19,60,3,1,5,1,3300,690.28,0.0632357319142984,106
FALSE,39,0,EE,1063,25.55,60,34,13,3,1,1400,325,0.063109603636925,1063
FALSE,33,0,EE,1063,33.13,60,37,12,4,3,1900,871.86,0.1089264895159055,0
FALSE,34,1,EE,318,33.13,60,11,4,4,10,1500,439.89,0.0771467046975448,0
FALSE,24,0,EE,212,36.94,60,8,27,4,10,1700,621.32,0.2707126327506485,212
FALSE,36,0,EE,1063,28.03,60,35,4,1,2,1350,182.44,0.1399084490494345,1063
FALSE,33,0,EE,106,33.12,60,4,4,5,2,1100,61.74,0.0848809358193381,106
FALSE,44,0,FI,2383,19.33,60,62,1,3,1,2800,1341.55,0.0330194123089313,2383
FALSE,29,0,EE,3934,24.18,60,122,13,5,2,1200,251.09,0.0485013359313279,0
FALSE,47,1,EE,637,21.9,60,19,12,5,1,3000,592.1,0.0117293580596073,637
FALSE,49,0,EE,106,27.99,60,3,11,3,10,1300,116.5,0.09558422071931,105.1
FALSE,24,1,EE,212,24.18,60,7,11,1,2,1100,227.93,0.0790446844177648,210.03
FALSE,33,0,EE,531,34.43,60,19,12,4,3,1900,871.86,0.1236337915025732,0
FALSE,29,0,EE,1063,28.03,60,35,8,4,3,1900,168.01,0.1174453133494302,1063
FALSE,51,0,EE,106,36.42,60,4,12,4,1,800,35.32,0.2192854990583458,106
FALSE,57,1,EE,212,28,60,7,26,3,1,800,60.3,0.0780852158547494,212
FALSE,43,1,EE,1063,25.54,60,34,7,5,1,2900,946.61,0.0069786764275941,1063
FALSE,29,0,EE,425,24.21,60,13,13,5,2,1200,251.09,0.0485013359313279,425
FALSE,42,1,EE,212,25.55,60,7,17,1,1,726,101.73,0.0687303079953824,212
FALSE,43,1,EE,106,24.19,60,3,1,5,1,3300,690.28,0.0632357319142984,106
FALSE,39,0,EE,2232,28.03,60,73,13,3,1,1400,325,0.1299047497614519,2232
FALSE,41,1,EE,12121,21.88,60,361,20,5,1,3200,1186.9,0.010705523901013,0
FALSE,50,0,EE,1063,25.51,60,34,18,3,1,1700,208.79,0.0218495467645726,1053.4
FALSE,32,0,EE,956,25.54,60,30,8,1,3,3400,370,0.01986426850649,956
FALSE,20,0,EE,212,27.99,60,7,16,1,3,1400,48.57,0.080963081203942,210.19
FALSE,37,1,EE,1275,21.9,60,38,12,3,1,1400,260,0.0176001150988733,1275
FALSE,51,1,EE,1594,33.13,60,56,9,4,1,1087,332.14,0.0700350273861916,1594
FALSE,59,1,FI,207,19.34,60,5,6,1,3,1130,229.39,0.108963519334793,207
FALSE,22,0,EE,106,34.4,60,4,12,4,2,1200,20.21,0.1264997647306932,101.41
FALSE,33,0,EE,2126,33.13,60,75,12,4,3,1900,871.86,0.0783333882532762,2126
FALSE,57,0,EE,1063,25.55,60,34,2,5,1,3150,746.6,0.0168456725988054,1063
FALSE,25,0,EE,4891,25.52,60,154,25,5,10,2700,288.83,0.040304600073072,4891
FALSE,32,0,EE,212,28.02,60,7,10,4,3,1900,74.73,0.0768334706719077,212
TRUE,37,0,FI,4249,19.32,60,110,20,1,10,2800,89.39,0.0797854289412498,4009.66
FALSE,32,0,EE,1169,25.54,60,37,8,1,3,3400,370,0.0366214111891521,1169
FALSE,23,1,EE,106,33.11,60,4,5,5,10,1318,503.54,0.0729649969359305,106
FALSE,41,1,EE,637,28.03,60,21,8,5,10,2000,498.59,0.099786682045258,637
FALSE,41,0,FI,518,19.32,60,13,18,3,3,3100,510.68,0.0357896722853183,512.73
FALSE,23,0,EE,106,28.02,60,3,8,4,2,1500,271.58,0.1388435223413829,106
TRUE,69,1,FI,4249,15.12,12,383,5,3,3,1800,175,0.0433912575244903,4249
TRUE,33,1,NL,4992,11.08,60,111,26,-1,1,2238,0,0.0375978210268338,4992
TRUE,32,0,FI,932,19.34,24,47,26,1,1,2800,450,0.217891588807106,932
TRUE,48,0,FI,4249,19.34,60,110,13,3,3,3300,780,0.0718041732907295,4249
TRUE,22,1,FI,3627,19.34,60,94,3,1,3,2000,122.22,0.0802643001079559,3627
TRUE,44,1,FI,4249,19.34,60,110,19,5,3,2100,689,0.0704258680343627,4249
TRUE,39,2,NL,1040,11.07,60,23,9,-1,2,2670,100,0.0104743260900795,1040
TRUE,21,0,FI,932,19.34,60,24,26,4,2,2000,354,0.1412841528654098,0
TRUE,25,0,FI,518,19.23,12,48,1,4,3,1900,155,0.1159778833389282,518
TRUE,53,0,FI,2073,15.19,60,49,5,3,3,1550,190,0.0284268073737621,2073
FALSE,56,0,FI,518,19.33,48,15,7,5,3,1500,99.98,0.0618191249668598,518
TRUE,22,0,FI,932,19.28,12,86,3,3,3,2000,100,0.1963893622159958,932
TRUE,21,0,FI,4249,19.33,60,110,1,3,2,1700,289.56,0.0530718378722667,4249
FALSE,44,1,EE,1594,19.53,84,39,4,5,1,2600,903.67,0.0077936680984036,0
FALSE,47,0,FI,3938,19.35,117,62,26,3,3,1800,104.74,0.0809294953942298,3938
TRUE,37,1,FI,2591,19.34,60,67,2,3,3,2400,789,0.059763953089714,2591
TRUE,29,1,NL,3120,11.07,60,70,1,-1,3,2095,0,0.0375978210268338,3120
FALSE,37,1,FI,4249,19.34,60,110,2,3,3,2400,599.9,0.0985125452280044,4249
FALSE,30,1,FI,310,19.34,60,8,3,5,3,3000,273.66,0.0668762475252151,310
TRUE,35,0,FI,4249,19.34,60,110,23,5,1,2830,2264.5,0.086483709514141,4249
FALSE,54,1,FI,1554,19.34,60,40,18,3,1,1900,58.22,0.02888067625463,1554
TRUE,38,0,FI,932,19.34,60,24,4,4,3,3835,0,0.2348476499319076,932
TRUE,52,1,FI,414,19.28,12,38,16,5,1,4600,545,0.0554885789752006,414
FALSE,26,0,FI,207,19.34,60,5,3,3,3,3800,197.34,0.0571403838694095,207
TRUE,21,0,FI,621,19.29,12,57,23,3,3,2500,0,0.1905142813920974,621
FALSE,48,0,FI,518,19.33,60,13,6,3,3,3200,89.31,0.0595206283032894,518
TRUE,31,0,FI,4249,19.34,60,110,23,3,3,2300,150,0.087988756597042,4249
TRUE,52,1,FI,518,19.34,60,13,18,3,3,2900,1411.25,0.0651462003588676,518
FALSE,48,0,NL,416,11.08,60,9,26,-1,1,3256,134.76,0.0011577075198946,416
TRUE,28,0,NL,312,11.07,60,7,1,-1,1,3050,103.68,0.0431189603112966,312
TRUE,28,1,FI,2073,19.23,12,191,1,5,3,2200,0,0.1320727169513702,2073
TRUE,26,0,FI,310,19.34,60,8,26,1,3,2400,320.8,0.0752596259117126,310
TRUE,27,0,FI,518,19.33,60,13,3,5,3,2400,278.54,0.0244364328682422,518
FALSE,44,0,FI,1243,19.34,60,32,3,5,10,2500,806.66,0.0386923626065254,1243
FALSE,46,1,FI,621,19.34,36,23,18,5,3,2500,1177.05,0.0234947279095649,621
FALSE,48,0,FI,310,19.34,60,8,18,3,8,2950,922.21,0.0700074583292007,310
FALSE,21,0,FI,4249,19.34,60,110,25,3,2,2500,324.58,0.1201979592442512,4249
TRUE,38,0,FI,4042,19.34,60,104,4,4,3,3835,26.8,0.1178981214761734,4042
TRUE,38,0,NL,5096,11.07,60,114,3,-1,2,2500,154.8,4.335187262332e-4,5096
FALSE,30,0,EE,318,34.42,54,12,18,4,3,1400,436.52,0.1864856112094838,318
TRUE,38,0,FI,207,19.34,60,5,23,3,1,2900,966.71,0.0307798311114311,207
FALSE,55,1,FI,2073,19.34,60,54,17,3,3,2300,249.85,0.0143505884334445,2073
TRUE,63,0,FI,1969,19.34,60,51,2,1,3,2000,617,0.1988188922405243,1969
TRUE,49,0,NL,3224,10.6,48,85,26,-1,1,3200,98,0.0032137274717946,3224
TRUE,64,0,FI,4249,15.19,48,118,3,5,1,3500,0,0.0336766056716442,4249
FALSE,43,1,FI,414,19.34,60,11,19,3,1,2300,155.96,0.0139836119487881,414
FALSE,53,1,FI,518,19.33,60,13,6,3,3,2100,577.88,0.0363372452557086,518
TRUE,54,0,EE,850,29.28,54,30,13,3,1,1100,114,0.1783630632128267,850
TRUE,60,0,FI,4249,19.34,60,110,19,3,3,2050,72.41,0.0463552139699459,4249
FALSE,39,0,FI,1036,19.29,18,66,2,3,3,2100,0,0.0217410512268543,1036
TRUE,64,0,EE,1169,29.28,60,39,8,3,1,640,111,0.1108997512811739,1169
FALSE,53,1,FI,1243,19.34,60,32,18,3,3,1500,238,0.0506581515073776,1243
TRUE,30,1,FI,103,19.34,60,3,13,3,3,2100,167.68,0.1296677887439727,103
TRUE,24,0,FI,518,19.34,60,13,13,3,2,2500,0,0.1278360038995742,518
FALSE,32,1,FI,1554,19.34,60,40,18,3,3,2600,783.82,0.0438329949975013,1554
TRUE,54,0,FI,2073,15.19,60,49,16,5,1,2200,750,0.0222092997282743,2073
TRUE,27,0,EE,425,36.41,48,17,13,1,3,1500,0,0.3597923045807891,425
FALSE,30,0,EE,212,34.42,60,8,3,3,1,1788,963.31,0.1229371728565889,212
FALSE,33,0,EE,7442,28.03,60,243,10,3,3,3200,1096.24,0.1293712392223844,7442
FALSE,26,0,FI,103,19.27,12,9,2,3,3,2500,404.28,0.0762454941868782,103
TRUE,32,0,FI,5150,19.33,60,133,1,3,1,2250,620,0.0493495129048824,5150
TRUE,35,0,FI,932,19.34,60,24,5,1,3,2560,191.23,0.19296795129776,932
TRUE,48,0,FI,932,19.34,60,24,2,5,3,2200,0,0.1480147391557693,932
FALSE,31,0,EE,1063,24.21,84,28,8,1,3,1500,27.14,0.047404196289831,1063
TRUE,20,1,EE,637,25.54,60,20,13,3,3,1600,350.91,0.0426113381441766,637
TRUE,29,0,FI,829,19.34,60,21,10,3,1,3800,196.6,0.0668143332004547,829
FALSE,60,1,FI,4249,19.34,60,110,19,3,1,3600,120.76,0.0348542481660842,4249
TRUE,23,0,FI,725,19.34,60,19,3,3,2,3200,184,0.0941710919141769,725
TRUE,58,1,NL,5928,11.07,60,132,19,-1,2,2300,0,0.0237637694399212,5928
TRUE,57,1,NL,1560,11.07,60,35,1,-1,3,2669.63,400,0.0081276516976863,1560
FALSE,56,0,FI,1554,19.34,60,40,23,5,1,4100,473.7,0.0205667745321989,1554
FALSE,45,0,FI,4249,19.34,60,110,15,1,1,3400,1380,0.0739767551422119,4249
FALSE,69,1,FI,414,19.25,12,38,5,3,10,1595.8,635,0.0554342754185199,414
TRUE,39,0,FI,4249,19.34,60,110,17,3,3,1200,318.05,0.0716004073619842,4249
FALSE,32,0,FI,518,19.33,60,13,5,3,1,2800,163.37,0.0513707809150218,518
FALSE,32,1,FI,207,19.34,60,5,3,3,1,2600,20.74,0.1936515569686889,207
FALSE,30,0,EE,1594,24.21,84,43,13,4,8,2100,241.59,0.0494385905141443,1594
FALSE,36,0,EE,531,24.21,60,16,13,4,2,1580,412.78,0.0512516931152383,531
FALSE,28,0,FI,207,19.28,12,19,3,3,3,2706,73.78,0.0190884955227375,207
TRUE,26,1,FI,207,19.34,60,5,2,3,3,1800,0,0.1610361039638519,207
TRUE,34,1,EE,744,25.53,30,35,11,5,1,1800,923.07,0.0121933121695365,744
TRUE,35,2,NL,936,11.07,60,21,1,-1,1,2744,262.35,0.008776827780555,936
TRUE,23,1,FI,1969,19.33,60,51,1,5,3,2500,50,0.136977270245552,1969
TRUE,46,0,FI,1347,19.32,24,68,3,3,1,4000,172.85,0.0372412055730819,1347
FALSE,32,1,EE,1594,21.89,24,86,13,5,3,1800,361.67,0.0257171193148923,1594
FALSE,64,1,FI,414,19.33,60,11,6,5,1,1930,959.9,0.0160135719925165,414
FALSE,49,1,FI,310,19.23,12,29,1,4,3,2450,111.32,0.0292616914957761,310
FALSE,27,1,FI,1036,19.34,60,27,13,3,3,2000,185.75,0.1111925840377807,1036
FALSE,33,0,FI,310,19.34,60,8,18,4,10,2300,568.34,0.0381846986711025,310
FALSE,27,1,FI,1865,19.34,60,48,13,3,3,2000,215.54,0.1111925840377807,1865
TRUE,38,0,FI,4249,19.34,60,110,11,3,1,3500,122.22,0.0832968577742576,4249
FALSE,36,1,EE,6698,36.41,60,245,13,5,5,1000,130.84,0.1927970250873373,6698
TRUE,32,0,FI,310,19.34,60,8,26,5,1,3100,757.32,0.0962267816066742,310
TRUE,24,0,EE,637,20.19,12,61,3,4,3,3100,123.53,0.0533642413267804,637
TRUE,23,1,FI,103,19.26,12,9,8,4,3,2200,46.86,0.0843580514192581,103
TRUE,30,1,FI,1969,19.34,60,51,2,3,3,2100,0,0.1231998205184936,169
TRUE,22,1,FI,3938,19.34,120,62,1,3,1,1700,192.42,0.0813309326767921,3938
FALSE,33,1,EE,531,34.44,119,15,11,4,10,1700,920.62,0.1487143297557519,531
FALSE,43,1,FI,4249,19.34,60,110,13,5,1,3000,488.95,0.0185348503291606,4249
TRUE,60,0,FI,4249,19.34,60,110,5,3,2,1175.28,106.29,0.0472017079591751,4249
TRUE,26,1,FI,1969,19.28,12,181,3,3,3,2900,0,0.1650681793689727,1969
FALSE,68,1,FI,518,19.29,18,33,15,5,1,3000,2306.99,0.0157546531409025,518
FALSE,36,0,EE,850,25.49,18,59,18,1,10,1800,236.95,0.0366066716107652,850
TRUE,47,2,NL,1456,11.07,60,33,1,-1,2,5500,164.56,0.0083362171203413,1456
FALSE,48,0,EE,318,34.42,54,12,8,4,1,1750,274.12,0.1521790903984644,318
FALSE,39,0,FI,6150,19.34,60,159,18,5,3,4245,742.78,0.0244308002293109,6150
FALSE,45,0,NL,312,11.07,60,7,1,-1,1,2700,247.19,0.0061979702791726,312
FALSE,29,0,EE,425,24.21,84,11,10,3,2,1760,350.29,0.0453001406124231,425
FALSE,57,0,EE,1063,25.54,60,34,2,5,1,3150,808.22,0.008127926793685,1063
TRUE,20,1,FI,103,19.33,60,3,8,3,3,2500,23.5,0.1585378348827362,103
TRUE,42,0,FI,207,19.34,60,5,15,5,1,2000,311.45,0.0181693546473979,207
TRUE,41,1,FI,1036,19.34,60,27,17,3,1,1800,424.43,0.0878592804074287,1036
FALSE,40,0,FI,4042,19.33,60,104,1,4,3,4200,933.35,0.0933526679873466,4042
TRUE,61,0,FI,4249,19.34,60,110,14,5,3,1250,0,0.1207847073674202,4249
TRUE,42,0,FI,207,15.19,60,5,5,1,1,5000,640,0.013273749500513,207
TRUE,28,0,EE,3083,28.02,54,106,13,5,1,2000,158.19,0.1136986277973923,3083
TRUE,31,1,FI,932,19.29,18,60,18,5,3,3000,168.69,0.0451026298105716,932
TRUE,20,0,FI,932,19.34,60,24,26,1,2,2000,0,0.1077266260981559,932
FALSE,43,1,FI,621,19.34,116,10,18,3,8,2300,75.38,0.0791284590959549,621
TRUE,57,1,FI,4249,19.33,60,110,1,3,1,2000,1100,0.1038536503911018,4249
TRUE,48,1,EE,4997,33.13,60,175,17,4,1,1132,0,0.1923423374994552,4997
FALSE,37,1,FI,518,19.28,12,48,3,5,3,4000,202.04,0.0180332418531179,518
FALSE,43,0,EE,531,21.9,72,14,13,4,1,2400,778.24,0.0256342453458928,531
TRUE,37,1,FI,1969,19.34,60,51,20,5,3,1500,100,0.1311766356229782,1969
TRUE,60,0,NL,2600,11.08,60,58,23,-1,1,2880,666,0.0031579132960033,2600
FALSE,28,0,EE,212,28.02,84,6,12,4,1,1450,300,0.0758353509689386,212
FALSE,26,0,EE,2126,34.44,117,60,20,4,3,902,178.73,0.1396120784700263,2126
FALSE,35,1,FI,518,19.34,60,13,18,3,10,2000,1313.05,0.0510886758565902,518
TRUE,34,0,FI,103,19.22,12,9,1,5,1,2400,1066.77,0.0314317196607589,103
FALSE,41,1,FI,518,19.34,60,13,15,5,1,2750,137.26,0.0700353756546974,518
TRUE,32,0,FI,310,19.34,60,8,26,5,1,3100,766.24,0.0962267816066742,310
TRUE,20,1,EE,318,28.03,60,10,13,4,2,1000,236.15,0.1463412978711209,318
FALSE,42,1,FI,1347,19.34,60,35,3,5,1,3200,813.38,0.1082408651709556,1347
FALSE,37,0,FI,103,19.32,60,3,1,3,3,2500,375.31,0.0902471467852592,103
FALSE,24,1,EE,3934,34.43,60,140,8,4,3,2000,862.51,0.1469228777524214,3934
TRUE,44,0,EE,1594,29.24,24,91,8,4,1,2000,800,0.1636502778492536,1594
FALSE,56,1,FI,4249,19.34,60,110,18,5,3,4700,875.51,0.0516219399869442,4249
FALSE,66,0,FI,310,19.33,48,9,5,1,3,1550,377.99,0.0421819202601909,310
TRUE,35,0,FI,4249,19.34,36,155,13,3,3,1800,0,0.0760842785239219,4249
TRUE,25,2,NL,1560,11.07,60,35,1,-1,1,2300,111.45,0.0032000401001376,1560
FALSE,63,1,FI,4249,19.34,54,117,24,3,3,1900,327.38,0.0661695823073387,4249
TRUE,22,1,FI,103,19.32,60,3,1,3,3,2500,2.96,0.0832403302192688,103
FALSE,34,1,FI,4249,19.34,60,110,18,3,3,2200,252.22,0.0511375553905963,4249
TRUE,48,0,FI,103,19.25,12,9,5,4,10,1800,9.49,0.1046482101082801,103
FALSE,39,0,FI,1036,19.34,60,27,3,4,3,2000,391.96,0.0628048703074455,1036
FALSE,28,0,EE,212,28.02,84,6,12,4,1,1450,306.11,0.0758353509689386,212
TRUE,60,0,NL,3120,11.08,60,70,23,-1,1,2880,724.87,0.0031579132960033,3120
TRUE,32,0,FI,310,19.34,60,8,26,5,1,3100,775.16,0.0962267816066742,310
TRUE,69,1,FI,4249,19.26,12,391,6,3,3,1350,119.06,0.0259694587439298,4249
TRUE,53,0,NL,6968,11.07,60,156,4,-1,2,7000,100,0.0110723676303502,6968
TRUE,23,0,FI,207,19.27,12,19,19,1,3,2300,256.41,0.0517267175018787,207
TRUE,36,2,NL,5928,11.07,60,132,1,-1,2,2726,400,0.0288124029718078,5928
FALSE,34,0,FI,4249,19.34,60,110,12,3,1,2240,1412.59,0.0782442614436149,4249
FALSE,46,0,NL,2704,11.07,60,60,18,-1,1,8448,933.1,0.002008995130248,2704
FALSE,60,0,EE,2339,34.43,60,83,26,3,3,2800,385.68,0.1840287624551276,2339
FALSE,68,1,FI,518,19.32,30,22,5,3,3,1600,358.74,0.0454243682324886,518
TRUE,42,1,FI,4249,15.19,60,101,18,5,3,1995,510.96,0.0444518961012363,4249
TRUE,49,2,NL,5200,11.07,60,116,5,-1,1,2200,156.83,0.0042970365417193,5200
TRUE,40,0,NL,2080,11.08,60,46,26,-1,1,2500,211.49,0.0031579132960033,2080
TRUE,48,0,NL,3120,11.08,60,70,23,-1,1,3265,40.92,0.0104743260900795,3120
