rv_id,hv_id,target_id,msg_generation_time,msg_rcv_time,rv_msg_count,rv_wsm_data,rv_pos_x,rv_pos_y,rv_pos_z,rv_speed,rv_accel,rv_heading,rv_yaw_rate,rv_length,rv_width,rv_height,hv_msg_count,hv_wsm_data,hv_pos_x,hv_pos_y,hv_pos_z,hv_speed,hv_accel,hv_heading,hv_length,hv_width,hv_height,attack_type,eebl_warn,ima_warn,attack_type_num
486,366,-1,72.1207,72.120863075928,80,genuine,1142.17,446.299,26.9246,20.06,0.231782,2.54578,0,5,1.8,1.5,80,genuine,1648.06,1589.08,0,21.3248,0.254979,1.83768,5,1.8,1.5,RandomPosition,0,0,0
336,72,-1,48.5697,48.569854839112,100,genuine,77.2028,248.181,42.9961,18.942,-0.484327,-2.33112,0.00906178,5,1.8,1.5,101,genuine,1680.51,3319.44,0,20.0538,1.83192,0.874728,5,1.8,1.5,RandomPosition,0,0,0
150,546,-1,99.2674,99.267482716256,95,genuine,2597.2,1484.98,16.2041,12.6946,1.95871,1.69415,6.75016e-13,5,1.8,1.5,68,genuine,1735.11,2491.8,0,16.298,1.34673,-1.45052,5,1.8,1.5,RandomPosition,0,0,0
564,570,-1,64.7235,64.723623607497,107,genuine,2231.78,3694.52,29.1514,7.71291,2.21444,-2.29338,-0.274933,5,1.8,1.5,108,genuine,2994.71,1286.78,0,0,0,-2.61116,5,1.8,1.5,RandomPosition,0,0,0
492,294,-1,97.5464,97.546475214709,78,genuine,1751.73,538.063,47.3723,25.5313,2.51169,-3.03412,1.90514e-12,5,1.8,1.5,79,genuine,2592.08,2335.24,0,14.2939,1.51373,-3.03995,5,1.8,1.5,RandomPosition,0,0,0
24,576,-1,91.1298,91.129871173521,14,genuine,3014.01,1275.22,0,0.00875065,0.0361831,-2.57242,0,5,1.8,1.5,90,genuine,3228.61,1088.93,0,24.048,1.88234,-2.54311,5,1.8,1.5,Genuine,0,0,0
480,60,-1,65.4213,65.42144491682,13,genuine,3001.18,1282.99,0,0,0,-2.61116,0,5,1.8,1.5,13,genuine,2988.24,1290.58,0,0,0,-2.61116,5,1.8,1.5,Genuine,0,0,0
576,528,-1,45.7419,45.742046800255,20,genuine,3226.7,720.341,0,12.4883,-0.678726,-1.41088,0,5,1.8,1.5,47,genuine,3229.93,740.382,0,12.5604,0.456403,-1.41088,5,1.8,1.5,Genuine,0,0,0
360,66,-1,50.52,50.520115013807,120,genuine,2374.53,4602.73,42.6587,25.7108,-0.118739,2.11919,9.59233e-13,5,1.8,1.5,120,genuine,2393.39,3446.3,0,7.70735,1.91546,2.55866,5,1.8,1.5,RandomPosition,0,0,0
582,372,-1,42.84,42.8401182698,117,genuine,1125.56,1504.8,0,14.215,-0.184474,0.345901,-0.0702165,5,1.8,1.5,43,genuine,1166.63,1527.29,0,7.87982,-4.43684,0.704594,5,1.8,1.5,Genuine,0,0,0
378,498,-1,79.85,79.85011920606,29,genuine,1732.41,2443.87,0,0,0,1.69315,0,5,1.8,1.5,29,genuine,1739.4,2501.38,0,0,0,1.68338,5,1.8,1.5,Genuine,0,0,0
282,114,-1,80.5092,80.509345458285,36,genuine,2650.8,2230.44,0,23.3901,0.376482,-1.29267,-0.437708,5,1.8,1.5,36,genuine,2646.58,2323.29,0,0,0,-3.03761,5,1.8,1.5,Genuine,0,0,0
264,546,-1,70.5619,70.561995271121,64,genuine,1671.58,2215.61,0,10.1316,2.35944,2.41436,-0.422485,5,1.8,1.5,37,genuine,1545.38,2035.59,0,27.9035,-0.0354821,-1.1298,5,1.8,1.5,Genuine,0,0,0
294,114,-1,92.4221,92.422237163339,27,genuine,2640.6,2325.24,0,4.77187,1.37521,-2.77707,0.326324,5,1.8,1.5,27,genuine,2640.03,2322.21,0,5.04952,1.51591,-2.7594,5,1.8,1.5,Genuine,0,0,0
468,366,-1,98.3953,98.395398076263,86,genuine,572.623,4901.41,29.5422,22.8697,0.75571,-1.10598,0,5,1.8,1.5,87,genuine,1307.68,1176.2,0,21.3167,0.104666,2.53899,5,1.8,1.5,RandomPosition,0,0,0
450,108,-1,83.232,83.232115931474,63,genuine,1733.33,2451.32,0,0,0,1.69315,0,5,1.8,1.5,64,genuine,1742.45,2547.1,0,0.00533951,-0.00519545,1.54969,5,1.8,1.5,Genuine,0,0,0
60,180,-1,75.9721,75.972171423516,118,genuine,2988.24,1290.58,0,0,0,-2.61116,0,5,1.8,1.5,119,genuine,2862.69,1285.19,0,0,0,2.74876,5,1.8,1.5,Genuine,0,0,0
378,108,-1,90.65,90.650119242337,9,genuine,1732.35,2443.38,0,1.39078,2.14225,1.69315,0,5,1.8,1.5,10,genuine,1742.45,2547.1,0,0,0,1.54969,5,1.8,1.5,Genuine,0,0,0
330,390,-1,54.0569,54.057016793892,27,genuine,237.944,3125.89,19.0911,30.3488,0.316111,2.75946,-1.73195e-13,5,1.8,1.5,27,genuine,2124.49,999.413,0,11.3997,1.46175,2.97745,5,1.8,1.5,RandomPosition,0,0,0
522,258,-1,80.5474,80.547536299086,10,genuine,2754.89,3775.8,36.432,25.01,-0.415425,0.826339,0,5,1.8,1.5,36,genuine,1579.2,3438.35,0,24.6212,-0.0212591,1.09195,5,1.8,1.5,RandomPosition,0,0,0
462,312,-1,17.0274,17.027462242522,41,genuine,4736.58,3288.84,2.76996,10.7803,-0.105507,-2.4294,0,5,1.8,1.5,41,genuine,1595.3,816.606,0,6.6242,1.65169,-2.65876,5,1.8,1.5,RandomPosition,0,0,0
192,558,-1,16.8278,16.827889990906,39,genuine,3243.3,3575.6,36.4503,23.3934,0.145898,-0.0581534,0.112083,5,1.8,1.5,13,genuine,2810.12,2143.42,0,21.8462,0.795514,0.0515008,5,1.8,1.5,RandomPosition,0,0,0
72,36,-1,98.7186,98.718747593666,90,genuine,1741.93,2527.63,0,8.90745,1.7036,1.64194,0.0983075,5,1.8,1.5,90,genuine,1762.73,2675.12,0,16.6176,-0.941408,2.00377,5,1.8,1.5,Genuine,0,0,0
378,72,-1,95.35,95.350115275655,56,genuine,1728.79,2415.48,0,10.4728,2.49324,1.70407,0,5,1.8,1.5,57,genuine,1742.38,2550.21,0,3.53457,1.78695,1.54697,5,1.8,1.5,Genuine,0,0,0
540,450,-1,60.6945,60.694594048656,67,genuine,915.074,4586.37,31.039,14.515,1.30839,2.26536,0,5,1.8,1.5,94,genuine,1733.33,2451.32,0,2.49218e-4,-2.53363e-4,1.69315,5,1.8,1.5,RandomPosition,0,0,0
60,570,-1,6.57206,6.572177230707,64,genuine,3066.74,945.245,0,10.6045,0.740289,-1.62997,1.04361e-13,5,1.8,1.5,38,genuine,3068.3,918.955,0,7.25772,1.78383,-1.62997,5,1.8,1.5,Genuine,0,0,0
138,114,-1,68.6317,68.631829295025,45,genuine,4065.37,2753.68,49.7412,0,0,-3.02946,0,5,1.8,1.5,45,genuine,2646.58,2323.29,0,0,0,-3.03761,5,1.8,1.5,RandomPosition,0,0,0
234,546,-1,19.9447,19.944822476208,70,genuine,1564.85,4205.62,47.3677,14.5322,0.310064,-0.626996,0,5,1.8,1.5,43,genuine,854.029,1463.94,0,13.9412,0.171497,-0.626996,5,1.8,1.5,RandomPosition,0,0,0
432,324,-1,64.6677,64.667823331689,5,genuine,1951.9,934.934,0,24.8777,1.00414,2.75946,-1.51434e-12,5,1.8,1.5,6,genuine,1626.35,813.682,0,0,0,2.67687,5,1.8,1.5,Genuine,0,0,0
492,558,-1,78.4464,78.446471980855,15,genuine,1409.24,285.097,29.5902,23.3081,0.232121,-1.2489,-0.0776824,5,1.8,1.5,117,genuine,2440.7,2348.83,0,0,0,-3.0294,5,1.8,1.5,RandomPosition,0,0,0
474,498,-1,44.7947,44.794849162037,62,genuine,199.324,419.092,40.0497,0,0,-2.68384,0,5,1.8,1.5,63,genuine,1826.64,2811.53,0,9.78609,1.77544,1.9844,5,1.8,1.5,RandomPosition,0,0,0
510,216,-1,80.3844,80.384488413506,9,genuine,1165.88,1527.93,0,0,0,0.704594,0,5,1.8,1.5,35,genuine,1224.1,1552.82,0,0,0,2.09385,5,1.8,1.5,Genuine,0,0,0
468,312,-1,59.5953,59.595388039745004,82,genuine,2621.9,1003.62,43.135,28.51,0.0955253,1.47024,-0.00358434,5,1.8,1.5,83,genuine,1239.79,1070.41,0,0,0,-2.41503,5,1.8,1.5,RandomPosition,0,0,0
342,498,-1,56.6866,56.686751968935,53,genuine,4699.71,816.517,16.4798,26.6897,-1.9986,1.87016,-0.444135,5,1.8,1.5,54,genuine,1741.31,2587.67,0,24.3133,-3.57939,1.54626,5,1.8,1.5,RandomPosition,0,0,0
318,282,-1,47.4868,47.486931453676,89,genuine,4111.27,4174.39,12.1698,15.0148,1.5354,-0.353728,1.70419e-12,5,1.8,1.5,90,genuine,1905.58,1963.93,0,28.963,0.10468,-0.230231,5,1.8,1.5,RandomPosition,0,0,0
468,582,-1,55.6953,55.695509247903,43,genuine,1478.76,1147.86,49.7233,25.179,1.01965,1.7894,-3.90799e-13,5,1.8,1.5,118,genuine,1185.78,1501.71,0,0,0,-0.31984,5,1.8,1.5,RandomPosition,0,0,0
324,390,-1,84.1124,84.112494495092,72,genuine,1588.49,820.733,0,12.5432,1.86395,-2.60437,-0.167649,5,1.8,1.5,72,genuine,1633.65,817.31,0,2.14272,2.32477,2.73539,5,1.8,1.5,Genuine,0,0,0
372,510,-1,60.8704,60.870550880399,95,genuine,1171.6,1523.07,0,0,0,0.704594,0,5,1.8,1.5,70,genuine,1165.88,1527.93,0,1.04466e-4,-1.04975e-4,0.704594,5,1.8,1.5,Genuine,0,0,0
180,60,-1,91.7565,91.756633320231,20,genuine,2862.15,1284.96,0,1.11809,1.49168,2.74876,0,5,1.8,1.5,20,genuine,2985.18,1291.95,0,3.49509,1.61467,-2.68488,5,1.8,1.5,Genuine,0,0,0
546,510,-1,47.4952,47.495332530927,62,genuine,1205.22,1527.92,0,18.0565,2.1902,-0.929802,1.08691e-12,5,1.8,1.5,65,genuine,1149.35,1542.3,0,10.5954,-4.28542,0.697047,5,1.8,1.5,Genuine,0,0,0
156,120,-1,74.351,74.351072371166,102,genuine,2445.12,3429.88,0,20.7004,-1.13407,-2.86791,0,5,1.8,1.5,103,genuine,2521.4,3410.36,0,9.30478,1.97945,-2.95088,5,1.8,1.5,Genuine,0,0,0
408,264,-1,97.497,97.497139083029,77,genuine,2373.07,3726.21,35.3618,6.09846,2.02063,1.54592,0.0107154,5,1.8,1.5,78,genuine,1728.85,2441.13,0,13.8375,0.707407,-1.44669,5,1.8,1.5,RandomPosition,0,0,0
534,384,-1,95.428,95.428107644879,31,genuine,1741.45,2582.54,0,4.34769,-0.509047,1.54424,-0.00465673,5,1.8,1.5,57,genuine,1761.69,2672.86,0,20.003,-2.06224,2.00377,5,1.8,1.5,Genuine,0,0,0
150,498,-1,44.0674,44.067477025402,55,genuine,2370.25,4003.34,44.1001,20.5997,2.30784,2.01625,4.17444e-13,5,1.8,1.5,55,genuine,1829.23,2817.44,0,8.48328,1.36418,1.90265,5,1.8,1.5,RandomPosition,0,0,0
378,450,-1,73.75,73.750112446824,96,genuine,1732.41,2443.87,0,0,0,1.69315,0,5,1.8,1.5,97,genuine,1733.33,2451.32,0,0,0,1.69315,5,1.8,1.5,Genuine,0,0,0
102,456,-1,75.6671,75.667171095859,115,genuine,4189.97,2456.1,45.734,0,0,2.3924,0,5,1.8,1.5,115,genuine,1255.85,1104.5,0,1.91282,-2.20955,2.1819,5,1.8,1.5,RandomPosition,0,0,0
384,36,-1,88.2992,88.299354022096,113,genuine,1820.82,2798.78,0,13.0221,2.19896,2.0014,0,5,1.8,1.5,114,genuine,1839.31,2826.86,0,7.96653,1.41508,2.71572,5,1.8,1.5,Genuine,0,0,0
318,366,-1,37.5868,37.586925261032,118,genuine,2989.39,4077.39,29.5606,12.2425,0.396499,-1.93941,-0.0515673,5,1.8,1.5,119,genuine,2061.52,1596.99,0,13.304,-0.271923,-1.70374,5,1.8,1.5,RandomPosition,0,0,0
54,384,-1,39.3801,39.380202666913,8,genuine,824.693,4124.75,28.0966,8.54015,2.55846,2.10525,0.234854,5,1.8,1.5,8,genuine,2361.93,3405.94,0,15.9709,1.66983,2.11898,5,1.8,1.5,RandomPosition,0,0,0
210,498,-1,68.4829,68.483006078071,43,genuine,4658.46,1110.36,0.744481,23.3138,-0.649264,2.03128,-8.08242e-13,5,1.8,1.5,44,genuine,1739.4,2501.4,0,0.0251225,-0.0310361,1.68342,5,1.8,1.5,RandomPosition,0,0,0
228,450,-1,28.8572,28.857332714175,31,genuine,1877.7,2853.54,0,15.0338,-4.44323,2.45846,0.124665,5,1.8,1.5,32,genuine,1843.4,2828.71,0,6.60413,2.6,2.53833,5,1.8,1.5,Genuine,0,0,0
372,510,-1,10.0704,10.070550934966,99,genuine,345.195,1908.76,0,19.6231,2.05874,0.567823,1.46994e-12,5,1.8,1.5,74,genuine,306.001,1933.76,0,14.3908,1.32377,0.567823,5,1.8,1.5,Genuine,0,0,0
504,378,-1,35.2277,35.22779536219,95,genuine,3040.58,944.639,43.7644,0,0,0.046608,0,5,1.8,1.5,95,genuine,1767.11,2684.59,0,22.8481,-0.440336,2.00377,5,1.8,1.5,RandomPosition,0,0,0
126,156,-1,69.3253,69.325438955515,52,genuine,3342.73,393.178,49.9155,0.0140061,-0.016207,1.79708,2.57131e-4,5,1.8,1.5,52,genuine,2537.05,3396.61,0,18.7338,0.164277,-2.54339,5,1.8,1.5,RandomPosition,0,0,0
450,108,-1,80.532,80.532118407985,36,genuine,1733.33,2451.32,0,0,0,1.69315,0,5,1.8,1.5,37,genuine,1742.45,2547.18,0,0.0804817,-0.0725199,1.54969,5,1.8,1.5,Genuine,0,0,0
180,480,-1,76.6565,76.656635573147,125,genuine,2862.69,1285.19,0,0,0,2.74876,0,5,1.8,1.5,126,genuine,3001.18,1282.99,0,0,0,-2.61116,5,1.8,1.5,Genuine,0,0,0
36,66,-1,43.6393,43.639387535406,51,genuine,2421.93,3437.54,0,15.8192,-4.5,-2.7891,0.0260106,5,1.8,1.5,51,genuine,2479.34,3420.5,0,23.1108,-4.5,-2.87614,5,1.8,1.5,Genuine,0,0,0
414,240,-1,76.6056,76.605750535876,125,genuine,3703.59,1971.85,40.866,15.8437,2.2331,3.00302,-0.0815898,5,1.8,1.5,125,genuine,2855.76,1282.31,0,0,0,2.74876,5,1.8,1.5,RandomPosition,0,0,0
480,60,-1,81.3213,81.321441793722,44,genuine,3001.18,1282.99,0,0,0,-2.61116,0,5,1.8,1.5,44,genuine,2988.24,1290.58,0,0,0,-2.61116,5,1.8,1.5,Genuine,0,0,0
60,270,-1,91.6721,91.67217503238,19,genuine,2985.5,1291.81,0,3.33362,1.38454,-2.67583,-0.0862769,5,1.8,1.5,20,genuine,2846.02,1278.27,0,3.44305,1.62739,2.74795,5,1.8,1.5,Genuine,0,0,0
438,534,-1,95.699,95.699151488483,59,genuine,3677.74,2944.75,14.5712,6.86249,-4.39851,-1.14112,0.157072,5,1.8,1.5,34,genuine,1741.47,2581.7,0,4.1276,-1.10956,1.54334,5,1.8,1.5,RandomPosition,0,0,0
372,510,-1,19.3704,19.37054689639,64,genuine,560.518,1760.81,0,32.6639,0.135331,0.629003,-1.47105e-12,5,1.8,1.5,39,genuine,484.196,1816.13,0,29.1904,0.073068,0.619407,5,1.8,1.5,Genuine,0,0,0
546,384,-1,94.3952,94.395331467283,19,genuine,1727.92,2433.69,0,7.24479,2.564,-1.44669,-0.0020408,5,1.8,1.5,46,genuine,1771.52,2694.14,0,23.0089,-1.84109,2.00377,5,1.8,1.5,Genuine,0,0,0
42,558,-1,7.96482,7.964929897356,78,genuine,2254.08,3896.31,33.6202,15.3479,1.44243,-0.753092,-1.32894e-12,5,1.8,1.5,52,genuine,2775.08,2269.18,0,10.2578,1.89832,1.93269,5,1.8,1.5,RandomPosition,0,0,0
18,264,-1,85.6847,85.684835492725,87,genuine,2785.18,3169.91,34.3655,1.23089e-5,-1.22967e-5,1.56949,0,5,1.8,1.5,88,genuine,1689.77,2244.86,0,15.8111,2.26125,-0.955734,5,1.8,1.5,RandomPosition,0,0,0
294,114,-1,35.8221,35.822245123079,101,genuine,2680.31,2407.94,0,19.1011,-0.750882,1.94594,-0.354358,5,1.8,1.5,101,genuine,3020.49,2306.42,0,22.6919,1.51608,3.13919,5,1.8,1.5,Genuine,0,0,0
480,180,-1,72.8213,72.821448454525,87,genuine,3001.18,1282.99,0,0,0,-2.61116,0,5,1.8,1.5,87,genuine,2862.7,1285.19,0,1.67071e-4,-1.82318e-4,2.74876,5,1.8,1.5,Genuine,0,0,0
300,312,-1,62.5984,62.598518490732,112,genuine,1505.56,1316.78,0,20.5145,-0.431683,-0.701199,-0.131914,5,1.8,1.5,113,genuine,1239.79,1070.41,0,0,0,-2.41503,5,1.8,1.5,Genuine,0,0,0
234,108,-1,87.2447,87.244819408482,103,genuine,165.709,1199.54,20.1288,0,0,-1.44123,0,5,1.8,1.5,104,genuine,1742.45,2547.1,0,9.61726e-5,-8.84246e-5,1.54969,5,1.8,1.5,RandomPosition,0,0,0
468,216,-1,96.1953,96.195499270026,64,genuine,45.5212,3687.66,28.3632,22.8778,1.05287,-0.868773,-0.014392,5,1.8,1.5,65,genuine,1224.1,1552.82,0,0,0,2.09385,5,1.8,1.5,RandomPosition,0,0,0
504,216,-1,25.7277,25.727795369104,0,genuine,1687.27,1742.84,27.471800000000002,0,0,0.046608,0,5,1.8,1.5,1,genuine,1888.2,2399.78,0,21.9988,-0.360661,-3.13117,5,1.8,1.5,RandomPosition,0,0,0
282,294,-1,78.2092,78.209345588497,13,genuine,2631.1,2180.52,0,23.405,0.00435865,-1.07049,-0.295739,5,1.8,1.5,13,genuine,2646.92,2326.47,0,0,0,-3.03755,5,1.8,1.5,Genuine,0,0,0
72,534,-1,42.818600000000004,42.818749944579,43,genuine,1615.52,3358.8,0,8.59845,1.77282,0.187691,-0.74667,5,1.8,1.5,17,genuine,1528.17,3600,0,15.2779,-0.701666,1.41239,5,1.8,1.5,Genuine,0,0,0
96,366,-1,43.7698,43.769880244938,52,genuine,1653.71,2024.53,1.93364,24.1379,-1.14873,3.12246,0,5,1.8,1.5,53,genuine,2033.9,1674.53,0,13.285,-0.330126,-1.9237,5,1.8,1.5,RandomPosition,0,0,0
480,24,-1,87.5213,87.521448091615,106,genuine,3001.18,1282.99,0,0,0,-2.61116,0,5,1.8,1.5,106,genuine,3014.01,1275.21,0,1.49024e-4,-1.29103e-4,-2.57242,5,1.8,1.5,Genuine,0,0,0
558,114,-1,75.6167,75.6167667895,88,genuine,2440.7,2348.83,0,0,0,-3.0294,0,5,1.8,1.5,115,genuine,2646.58,2323.29,0,0,0,-3.03761,5,1.8,1.5,Genuine,0,0,0
492,558,-1,85.1464,85.146466040956,82,genuine,2243.34,2569.02,10.7366,25.8459,1.84555,-3.04033,0,5,1.8,1.5,56,genuine,2440.7,2348.83,0,0,0,-3.0294,5,1.8,1.5,RandomPosition,0,0,0
564,480,-1,67.7235,67.723622703029,9,genuine,4050.73,4529.89,46.6195,13.336,1.48619,-2.43773,-0.0571934,5,1.8,1.5,37,genuine,3001.18,1282.99,0,0,0,-2.61116,5,1.8,1.5,RandomPosition,0,0,0
570,60,-1,35.6179,35.618051826114,72,genuine,3095.63,1207.39,0,6.25336,0.818484,-1.17731,-0.653749,5,1.8,1.5,99,genuine,3086.06,1219.03,0,8.42101,2.49936,-2.36682,5,1.8,1.5,Genuine,0,0,0
342,228,-1,91.7866,91.786756276621,20,genuine,4149.1,1294.91,6.86487,0.73151,2.30123,1.60348,5.15143e-13,5,1.8,1.5,21,genuine,1736.81,2479.43,0,1.80425,1.91189,1.69553,5,1.8,1.5,RandomPosition,0,0,0
18,450,-1,86.0847,86.084832289947,91,genuine,1195.33,466.224,39.3728,0,-1.00442e-4,1.56949,0,5,1.8,1.5,92,genuine,1733.33,2451.32,0,0,0,1.69315,5,1.8,1.5,RandomPosition,0,0,0
84,36,-1,96.7612,96.761323788322,70,genuine,417.218,1249.06,13.0189,3.72204,1.18619,1.54091,0,5,1.8,1.5,71,genuine,1777.8,2707.72,0,19.6715,-1.68006,2.00377,5,1.8,1.5,RandomPosition,0,0,0
126,66,-1,41.7253,41.725438087443,32,genuine,2142.55,4484.52,5.13619,13.0766,2.24953,1.91165,0,5,1.8,1.5,32,genuine,2524.69,3403.46,0,26.3708,0.144175,-2.66366,5,1.8,1.5,RandomPosition,0,0,0
450,228,-1,23.332,23.332113448037,104,genuine,1905.99,2883.14,0,20.4927,2.12805,2.06061,0.149742,5,1.8,1.5,104,genuine,1928.77,2933.32,0,13.5479,2.53831,1.98672,5,1.8,1.5,Genuine,0,0,0
132,582,-1,98.6159,98.616013323183,89,genuine,2527.9,2413.28,19.3261,26.0216,-0.283117,-2.48328,0.230193,5,1.8,1.5,35,genuine,1493.11,1306.72,0,22.9429,0.401483,-0.643682,5,1.8,1.5,RandomPosition,0,0,0
462,510,-1,95.4274,95.427473532331,57,genuine,1540.23,215.579,0.639774,10.4339,1.34252,-0.817807,-0.0280319,5,1.8,1.5,32,genuine,1181.71,1510.76,0,9.29817,2.39532,0.932492,5,1.8,1.5,RandomPosition,0,0,0
96,456,-1,71.3698,71.36987391224,72,genuine,2169.96,1349.83,10.27,24.1684,-0.358767,1.77216,-0.0319051,5,1.8,1.5,72,genuine,1270.56,1128.87,0,12.954,-3.26242,2.09085,5,1.8,1.5,RandomPosition,0,0,0
228,378,-1,79.4572,79.457342949051,25,genuine,1736.92,2480.26,0,0,0,1.69476,0,5,1.8,1.5,26,genuine,1732.41,2443.87,0,0,0,1.69315,5,1.8,1.5,Genuine,0,0,0
264,402,-1,0.361881,0.361990470735,2,genuine,1556.81,2027.37,0,0.502617,2.46869,0.00476187,0,5,1.8,1.5,3,genuine,1437.31,1864.13,0,0.499421,2.52278,0.856836,5,1.8,1.5,Genuine,0,0,0
108,498,-1,88.5315,88.531648235552,116,genuine,1742.45,2547.1,0,2.53825e-5,-1.40349e-5,1.54969,4.55191e-13,5,1.8,1.5,116,genuine,1739.4,2501.38,0,0,0,1.68338,5,1.8,1.5,Genuine,0,0,0
228,378,-1,98.8572,98.857331219879,91,genuine,1729.95,2424.13,0,13.1068,2.42412,1.69646,0.012038,5,1.8,1.5,92,genuine,1722.4,2366.57,0,17.5144,1.79416,1.69669,5,1.8,1.5,Genuine,0,0,0
72,384,-1,66.0186,66.018739860572,19,genuine,1829.34,2817.69,0,35.2056,0.965396,1.97691,0.183731,5,1.8,1.5,19,genuine,1932.17,2941.02,0,26.1573,-1.15089,1.98672,5,1.8,1.5,Genuine,0,0,0
450,546,-1,95.832,95.832119320727,61,genuine,1730.08,2425.13,0,9.79306,2.47814,1.69538,0.00398554,5,1.8,1.5,34,genuine,1729.54,2446.69,0,10.1513,1.9714,-1.4479,5,1.8,1.5,Genuine,0,0,0
294,558,-1,37.3221,37.322234510594,116,genuine,2677.38,2379.88,0,19.1684,-0.145833,1.39796,-0.345802,5,1.8,1.5,90,genuine,2682.47,2319.54,0,18.24,-4.5,-3.03761,5,1.8,1.5,Genuine,0,0,0
432,324,-1,72.2677,72.267821571181,81,genuine,1779.84,858.357,0,24.7711,-0.0993637,2.63389,-1.59428e-12,5,1.8,1.5,82,genuine,1626.35,813.682,0,0,0,2.67687,5,1.8,1.5,Genuine,0,0,0
270,60,-1,82.3716,82.371722230326,54,genuine,2848.83,1279.44,0,0,0,2.74876,0,5,1.8,1.5,54,genuine,2988.24,1290.58,0,0,0,-2.61116,5,1.8,1.5,Genuine,0,0,0
228,450,-1,15.3572,15.357339739904,24,genuine,1945.27,2974.85,0,0,0,-0.818812,0,5,1.8,1.5,25,genuine,1950.5,2976.18,0,6.69674,0.675311,-2.8957,5,1.8,1.5,Genuine,0,0,0
72,264,-1,97.5186,97.518746179109,78,genuine,1742.46,2537.69,0,7.62069,2.21573,1.57462,0.0512841,5,1.8,1.5,78,genuine,1729.03,2442.52,0,14.0048,1.67299,-1.44669,5,1.8,1.5,Genuine,0,0,0
204,30,-1,1.31832,1.318433407702,12,genuine,1560.97,2849.8,3.45855,2.50184,1.33891,2.94444,0,5,1.8,1.5,12,genuine,3080.67,806.716,0,2.6649,2.08477,-2.01183,5,1.8,1.5,RandomPosition,0,0,0
462,312,-1,79.7274,79.727471805821,28,genuine,518.567,1905.98,19.6143,0,0,-2.41503,0,5,1.8,1.5,28,genuine,1239.79,1070.41,0,0,0,-2.41503,5,1.8,1.5,RandomPosition,0,0,0
276,300,-1,67.6749,67.675031371512,35,genuine,288.377,4449.7,0.565723,0,0,2.09444,0,5,1.8,1.5,35,genuine,1577.21,1392.83,0,20.5046,-0.73211,-0.950792,5,1.8,1.5,RandomPosition,0,0,0
